Facility_Name,Reg_No,Address,Facility_Type_RAW,Facility_Type,Level,Bed_Capacity,County
A.I.C DABA DISPENSARY,1116,P.O BOX 21028-00505 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,TANA RIVER
A.I.C GITHUMU MISSION HOSPITAL,43,P.O BOX 238-10218 KANGARI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,36,MURANG'A
A.I.C KAJIADO DISPENSARY,352,P.O BOX 416-01100 KAJIADO,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,KAJIADO
A.I.C KALAMBA SUB - HEALTH CENTRE,923,P.O BOX 9-90306 KALAMBA,DISPENSARY,DISPENSARY,LEVEL 2,0,MAKUENI
A.I.C KAPSOWAR MISSION HOSPITAL,1542,P.O BOX 68-30705 KAPSOWAR,FAITH BASED LEVEL 5 HOSPITAL,FAITH BASED,LEVEL 5,130,ELGEYO/ MARAKWET
A.I.C KIJABE HOSPITAL NAIROBI MEDICAL CENTRE,7142,P.O BOX 20-00220 KIJABE,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
A.I.C LOKORI HEALTH CENTRE,3493,P.O BOX 254-30506 LOKORI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,30,TURKANA
A.I.C MALANGA DISPENSARY,1115,P.O BOX 230-80200 MALINDI,DISPENSARY,DISPENSARY,LEVEL 2,0,KILIFI
A.I.C MBOONI SUB HEALTH CENTRE,995,P.O BOX 228-90125 KIKIMA,DISPENSARY,DISPENSARY,LEVEL 2,2,MAKUENI
A.I.C MULANGO HEALTH CENTRE KITUI,2916,P.O BOX 624-90200 KITUI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,10,KITUI
A.I.C WAJIR DISPENSARY,321,P.O BOX 110-70200 WAJIR,DISPENSARY,DISPENSARY,LEVEL 2,0,WAJIR
A.I.C. KALOKOL HEALTH CENTRE,2861,P.O BOX 507-30500 LODWAR,FAITH-BASED BASIC CENTRE,FAITH BASED,LEVEL 3A,22,NAIROBI
A.I.C. MUKEU DISPENSARY,476,P.O BOX 305-20319 S/KINANGOP,DISPENSARY,DISPENSARY,LEVEL 2,0,NYANDARUA
A\'ANTU MEDICAL CLINIC,17586,P.O BOX 9077-10400 NANYUKI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
AAR ADAMS HEALTH CENTRE,3271,P.O BOX 41766-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,25,NAIROBI
AAR DONHOLM OUTPATIENT CENTRE,4196,P.O BOX 41766-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
AAR ELDORET HEALTH CENTRE,3385,P.O BOX 727-30100 ELDORET,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,UASIN GISHU
AAR EMBAKASI OUTPATIENT CENTRE,3894,P.O BOX 41766-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAIROBI
AAR HEALTH CARE CITY CENTRE,364,P.O BOX 41766-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
AAR HEALTH CENTRE SARIT CENTRE,1023,P.O BOX 41766-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAIROBI
AAR HEALTH SERVICES HEALTH CARE -MOMBASA,300,P.O BOX 87858-80100 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MOMBASA
AAR HEALTH SERVICES KISUMU,426,P.O BOX 2746-40100 KISUMU,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,KISUMU
AAR HEALTH SERVICES NAKURU,502,P.O BOX 7097-20100 NAKURU,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAKURU
AAR HEALTHCARE (K) LTD RUAKA OUTPATIENT CENTRE,5726,P.O BOX 41766-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
AAR HEALTHCARE KENYA LTD BURUBURU OPC,14522,P.O BOX 41766-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
AAR HEALTHCARE SERVICES SYOKIMAU OUTPATIENT CENTRE,16869,P.O BOX 41776-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MACHAKOS
AAR HEALTHCARE THIKA OUTPATIENT CENTRE,4194,P.O BOX 41766-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,KIAMBU
AAR HEALTHCARE(K) LIMITED-KITENGELA OUTPATIENT CENTRE,6076,P.O BOX 41766-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KAJIADO
AAR HEALTHCARE(K) LTD NGONG OUTPATIENT,5671,P.O BOX 41766-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,KAJIADO
AAR HEALTHCARE(K) LTD-SOUTH C OUTPATIENT CENTRE,16328,P.O BOX 41766-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
AAR KAREN HEALTH CENTRE,3263,P.O BOX 41766-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
AAR LAVINGTON OUTPATIENT CENTRE,16704,P.O BOX 41766-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
AAR MOUNTAIN MALL OUTPATIENT CENTRE,4116,P.O BOX 41766-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
AAR THIKA ROAD HEALTH CENTER,1674,P.O BOX 41766-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAIROBI
AAR WILLIAMSON HOUSE HEALTH CENTRE,64,P.O BOX 41766-00100 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,NAIROBI
ABDALLAH AND ASSOCIATES DENTAL AND IMPLANT CENTRE,8712,P.O BOX 20458-00200 NAIROBI,DENTAL CENTRE,DENTAL CENTRE,LEVEL 3A,0,NAIROBI
ABERDARE CLINIC,3991,P.O BOX 8-30500 KALOKOL,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TURKANA
ABERDARE MEDICAL CENTRE,5561,P.O BOX 140-10218 KANGARI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MURANG'A
ABILITY THERAPY PLACE CLINIC,17698,P.O BOX 1455-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
ABSOLUTE DENTAL LIMITED,6021,P.O BOX 61100-00200 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
ABUBAKAR HEALTH SERVICES CLINIC,17818,P.O BOX 96149-80110 LIKONI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MOMBASA
ACACIA MEDICAL CENTRE,1070,P.O BOX 61405-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
ACACIA MEDICAL CENTRE ICEA BIULDING,1014,P.O BOX 61405-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
ACACIA MEDICAL CENTRE LTD - KISUMU,1562,P.O BOX 61405-00200 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KISUMU
ACACIA MEDICAL CLINIC,3496,P.O BOX 5970-30100 ELDORET,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NANDI
ACC & S KARIUA DISPENSARY,1627,P.O BOX 6275-01000 THIKA,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
ACC & S KIGUMO DISPENSARY,4894,P.O BOX 34-10203 KIGUMO,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
ACCESS AFYA KENYA LIMITED BABA DOGO CLINIC,17225,P.O BOX 29410-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
ACCESS AFYA KIAMBIU,6850,P.O BOX 29410-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
ACCESS AFYA KWA NJENGA,15590,P.O BOX 29410-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
ACCESS AFYA KWA REUBEN CLINIC,15404,P.O BOX 29410-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
ACCESS AFYA LIMITED MUKURU,2975,P.O BOX 29410-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
ACCESS AFYA LTD SINAI,3880,P.O BOX 29410-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
ACCESS AFYA TASSIA CLINIC,16226,P.O BOX 29410-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
ACE DENTAL CARE LIMITED,7239,P.O BOX 13538-00800 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
ACE MEDICAL CONSULTANCY LIMITED,6506,P.O BOX 15746-20100 NAKURU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
ACE NORTHERN HOSPITAL LTD,17990,P.O BOX 12226-80100 MOMBASA,NURSING HOME,NURSING HOME,LEVEL 3B,30,MOMBASA
ACEF ENA HEALTH CENTRE,1628,P.O BOX 425-060103 RUNYENJES,NURSING HOME,NURSING HOME,LEVEL 3B,31,EMBU
ACELA COMMUNITY CLINIC,17936,P.O BOX 182-40601 BONDO,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,SIAYA
ACHUDAN MEDICAL CLINIC,4260,P.O BOX 30869-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MACHAKOS
ACK BUKUYUDI PARISH CLINIC,4434,P.O BOX 43-50405 BUTULA,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,BUSIA
ACK CHEMASIRI DISPENSARY,1145,P.O BOX 338-50209 MALAKISI,DISPENSARY,DISPENSARY,LEVEL 2,0,BUSIA
ACK DR. PIKE ROPER MEDICAL CENTRE,16033,P.O BOX 2392-50200 BUNGOMA,FAITH-BASED BASIC CENTRE,FAITH BASED,LEVEL 3A,0,BUNGOMA
ACK IKULU FAITH DISPENSARY,8408,P.O BOX 1263-90115 KANGUNDO,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,MACHAKOS
ACK MITUNGUU MEDICAL CLINIC,686,P.O BOX 142-60204 MITUNGUU,DISPENSARY,DISPENSARY,LEVEL 2,0,MERU
ACK MT KENYA HOSPITAL MWEA,14565,P.O BOX 255-10303 WANGURU,FAITH-BASED COMPREHENSIVE CENTRE,FAITH BASED,LEVEL 3A,16,KIRINYAGA
ACK MWINGI CBHN CLINICS ANNEX,1057,P.O BOX 291-9200 MWINGI,DISPENSARY,DISPENSARY,LEVEL 2,0,KITUI
ACK NAMBOBOTO HEALTH CENTRE,5011,P.O BOX 135-50406 FUNYULA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,13,BUSIA
ACK NYAKIHAI DISPENSARY,6213,P.O BOX 111-10200 MURANGA,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,MURANG'A
ACK ST LUKE\'S BUSIADA DISPENSARY,5419,P.O BOX 29-50404 BUMALA,DISPENSARY,DISPENSARY,LEVEL 2,0,BUSIA
ACK ST. STEPHENS GATONDO CLINIC,13979,P.O BOX 1100-60100 EMBU,FAITH BASED DISPENSARY,FAITH BASED,LEVEL 2,0,EMBU
ACORN COMMUNITY HOSPITAL LTD,725,P.O BOX 165-40302 NDHIWA,NURSING HOME,NURSING HOME,LEVEL 3B,35,HOMA BAY
ACOUSTIC HEARING CENTRE,7003,P.O BOX 43954-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
ADAMS MOSQUE MEDICAL & DENTAL CLINIC,657,P.O BOX 32557-00600 NAIROBI,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAIROBI
ADARA COSMEDICS,15638,P.O BOX 21912-00505 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
ADEL MEDICAL CLINIC LIMITED,18121,P.O BOX 9- MTWAPA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KILIFI
ADIEDO MEDICAL CENTRE,16954,P.O BOX 95-40301 KENDU BAY,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,HOMA BAY
ADIMAKA CLINIC AHERO,16216,P.O BOX 247-40101 AHERO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISUMU
ADONAI VILLAGE HEALTH CARE,17727,P.O BOX 69409-00400 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
ADORA CHILDREN CLINIC,4109,P.O BOX 17665-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAJIADO
ADPATH LABORATORIES LIMITED MACHAKOS,8053,P.O BOX 1086-00606 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MACHAKOS
ADPATH LABORATORIES LIMITED MURANGA,17530,P.O BOX 1086-00606 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MURANG'A
ADVANCE CARE DENTAL CENTER,5425,P.O BOX 847-40123 KISUMU,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,KISUMU
ADVANCED CANCER CENTRE LIMITED,17617,P.O BOX 3808-40200 KISII,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISII
ADVENT MED AND DENT CARE CENTRE,2587,P.O BOX 18905-20100 NAKURU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAKURU
ADVENT MEDICARE & MATERNITY CENTER,16360,P.O BOX 19085-20100 NAKURU,NURSING HOME,NURSING HOME,LEVEL 3B,15,NAKURU
AESTHETICA AT EVANS SUNRISE MEDICAL CENTRE,7333,P.O BOX 4273-20100 NAKURU,DENTAL CLINIC,DENTAL CENTRE,LEVEL 2,0,NAKURU
AESTHETICA LIMITED,7334,P.O BOX 4273-20100 NAKURU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAKURU
AFLAH MEDICAL CENTRE,3127,P.O BOX 3-80500 MOKOWE,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,8,LAMU
AFNAAN HEALTHCARE SERVICES,3715,P.O BOX 486-70100 GARISSA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,GARISSA
AFRAHA MATERNITY AND NURSING HOME,1652,P.O BOX 13815-20100 NAKURU,NURSING HOME,NURSING HOME,LEVEL 3B,23,NAKURU
AFRICA INLAND CHURCH LALANG AMALO HEALTH CENTRE,3429,P.O BOX 3-20152 OLENGURUONE,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,10,NAKURU
AFRICA INUKA HOSPITAL LTD- MILIMANI,16927,P.O BOX 233-40605 SIDINDI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,60,KISUMU
AFRICA INUKA HOSPITAL LTD- UGUNJA,14521,P.O BOX 233-40605 SIDINDI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,20,SIAYA
AFRICA INUKA HOSPITAL LTD-KISUMU,8811,P.O BOX 233-40605 SIDINDI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,28,KISUMU
AFRICA INUKA HOSPITAL LTD-MADEYA,14523,P.O BOX 233-40605 SIDINDI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,50,SIAYA
AFRICA MISSION SERVICES COMMUNITY CLINIC,1361,P.O BOX 15514-00503 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,13,NAROK
AFRICA MUSLIMS AGENCY HEALTH CENTRE THIKA,513,P.O BOX 4658-01000 THIKA,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,12,KIAMBU
AFRICAN CHRISTIAN CHURCH AND SCHOOL (ACC& S) TATA HANAH DISPENSARY,1342,P.O BOX 120-10218 KIGUMO,DISPENSARY,DISPENSARY,LEVEL 2,0,MURANG'A
AFRICAN MUSLIM AGENCY DISPENSARY KIBARANI,3372,P.O BOX 31422-00600 NAIROBI,DISPENSARY,DISPENSARY,LEVEL 2,0,KILIFI
AFRICAN MUSLIM AGENCY DISPENSARY MATSANGONI,3384,P.O BOX 1261-80108 KILIFI,DISPENSARY,DISPENSARY,LEVEL 2,0,KILIFI
AFRICANA MALL HEALTH CARE LTD,15764,P.O BOX 99-30500 LODWAR,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,TURKANA
AFRICARE LIMITED NHIF BUILDING,4307,P.O BOX 66680-00800 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
AFRICARE LTD HOSPITAL,2518,P.O BOX 66680-00800 NAIROBI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,6,NAIROBI
AFRILIFE HEALTH MEDICAL CLINIC,17592,P.O BOX 9108-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAKAMEGA
AFRO BEAUTY PLASTIC CENTRE LIMITED,17212,P.O BOX 2212-00202 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAIROBI
AFYA BORA HEALTH CARE,6206,P.O BOX 12487-10100 NYERI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NYERI
AFYA BORA HOSPITAL,6350,P.O BOX 24872-00100 NAIROBI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,60,KIRINYAGA
AFYA BORA HOSPITAL ANNEX,15799,P.O BOX 244-10303 WANGURU,NURSING HOME,NURSING HOME,LEVEL 3B,60,KIRINYAGA
AFYA BORA MEDICAL CLINIC MUTOMO,15368,P.O BOX 76-90201 MUTOMO,NURSING HOME,NURSING HOME,LEVEL 3B,22,KITUI
AFYA FIRST MEDICAL CENTRE,3226,P.O BOX 97163-80112 MOMBASA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,MOMBASA
AFYA FRANK MEDICAL LABORATORY DISPENSING,1364,P.O BOX 594-00511 ONGATA RONGAI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAJIADO
AFYA HEALTH ESSENTIALS - KANGARI,5592,P.O BOX 41220-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MURANG'A
AFYA HEALTH SYSTEMS ORGANIZATION,3294,P.O BOX 871-40300 HOMABAY,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,30,HOMA BAY
AFYA INTERNATIONAL HOSPITAL,4280,P.O BOX 5531-80200 MALINDI,HOSPITAL LEVEL 4,HOSPITAL,LEVEL 4,35,KILIFI
AFYA JUJA CLINIC,4105,P.O BOX 763-01001 KALIMONI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
AFYA KAMILI MEDICAL CENTRE,17589,P.O BOX 34680-00100 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KAJIADO
AFYA LINE CFW CLINIC,1970,P.O BOX 1630-00606 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,EMBU
AFYA MEDICAL CLINIC DAGORETTI MARKET,5703,P.O BOX 63082-00200 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KIAMBU
AFYA NJEMA MEDICAL CLINIC,4236,P.O BOX 274-00242 KITENGELA,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MACHAKOS
AFYA NURSING HOME MOYALE,2706,P.O BOX 77-60700 MOYALE,NURSING HOME,NURSING HOME,LEVEL 3B,15,MARSABIT
AFYA POINT MEDICARE LIMITED,2582,P.O BOX 73-20200 KERICHO,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KERICHO
AFYA RESEARCH AFRICA -GAENA COMMUNITY MEDICAL CENTRE,7328,P.O BOX 20880-00202 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,HOMA BAY
AFYA RESEARCH AFRICA-MFANGANO COMMUNITY HEALTH CENTER,7172,P.O BOX 20880-00202 NAIROBI,HEALTH CENTRE,HEALTH CENTRE,LEVEL 3B,0,HOMA BAY
AFYA RESEARCH AFRICA-OMBOYE UBUNTU AFYA MEDICAL CENTRE,3965,P.O BOX 20880-00202 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,SIAYA
AFYA RESEARCH AFRICA-UBUNTU AFYA NINALAKESIDE,3987,P.O BOX 20880-00202 NAIROBI,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,SIAYA
AFYACARE HEALTH SERVICES,7744,P.O BOX 1836-01000 THIKA,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,KIAMBU
AFYACORE MEDICAL CENTRE LIMITED,14604,P.O BOX 44092-00100 NAIROBI,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAIROBI
AFYALINK MEDICAL CENTRE,14499,P.O BOX 34-60100 EMBU,NURSING HOME,NURSING HOME,LEVEL 3B,54,KIRINYAGA
AFYAMAX MEDICAL CLINIC,15030,P.O BOX 1515-60200 MERU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,MERU
AFYAPOINT MEDICARE LIMITED -ANNEX,18032,P.O BOX 73-20200 KERICHO,EYE HOSPITAL LEVEL 4,EYE CLINIC,LEVEL 4,20,KERICHO
AFYATELE CENTRE,7311,P.O BOX 89-40601 BONDO,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,10,SIAYA
AGA KHAN HEALTH SERVICE KENYA-NAROK MEDICAL CENTRE,16322,P.O BOX 530-40100 KISUMU,MEDICAL CENTRE,MEDICAL CENTRE / CLINIC,LEVEL 3A,0,NAROK
AGC NGORON,17781,P.O BOX 15-30404 NGINYANG,DISPENSARY,DISPENSARY,LEVEL 2,0,BARINGO
AGRIFLORA (K) LTD CLINIC,2026,P.O BOX 16533-20100 NAKURU,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,NAKURU
AHADI HEALTH & MATERNITY SERVICES,111,P.O BOX 70-00223 KAGWE,MATERNITY HOME,MATERNITY HOME,LEVEL 3B,6,KIAMBU
AHAVA MEDICAL CENTRE,7313,P.O BOX 128-40601 BONDO,NURSING HOME,NURSING HOME,LEVEL 3B,20,KISUMU
AHERO ANNEX HEALTHCARE LTD,3754,P.O BOX 375-40222 OYUGIS,MEDICAL CLINIC,MEDICAL CENTRE / CLINIC,LEVEL 2,0,KISUMU
AHERO NURSING HOME,3672,P.O BOX 428-40101 AHERO,NURSING HOME,NURSING HOME,LEVEL 3B,80,KISUMU
